"FIPS","Population","HS","BAorHigher","Owner_Occupied","Uninsured","Poverty","MetroArea","Unemployment","HHIncome_med","HHInc_PercStateTotal","Rural_Urban","UrbanInfCode","EconType","Male","WhiteAlone","BlackAlone","AsianAlone","Hispanic","Multiple"
40029,"5520",41.7,17.6,NA,NA,22.6,"No",3.8,"39396 ",75.9,"9 - Nonmetro (rural or < 2,500 urban pop., not adjacent to metro)","10 - Noncore (adjacent to micro area, with no town of ≥ 2,500)","Farming",NA,NA,NA,NA,NA,NA
40031,"120422",32.1,22.5,53.4999202751646,NA,16.7,"Yes",3.9,"51382 ",99,"3 - Metro (< 250,000 urban pop.)","2 - Small (metro, <1 million residents)","Government",NA,NA,NA,NA,NA,NA
40033,"5776",43.4,13.2,NA,NA,16.2,"Yes",3.1,"43386 ",83.6,"3 - Metro (< 250,000 urban pop.)","2 - Small (metro, <1 million residents)","Farming",NA,NA,NA,NA,NA,NA
40035,"14306",40.1,14.8,NA,NA,19.5,"No",3.5,"43074 ",83,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","6 - Noncore (adjacent to small metro, with a town of ≥ 2,500)","Government",NA,NA,NA,NA,NA,NA
40037,"71604",40.5,16.3,71.7241379310345,NA,14,"Yes",3.8,"54478 ",104.9,"2 - Metro (250,000 to 1 million urban pop.)","2 - Small (metro, <1 million residents)","Nonspecialized",NA,NA,NA,NA,NA,NA
40039,"29036",30.6,25.5,NA,NA,18.2,"No",2.4,"49577 ",95.5,"7 - Nonmetro (2,500 to 19,999 urban pop., not adjacent to metro)","8 - Micropolitan (not adjacent to metro area)","Mining",NA,NA,NA,NA,NA,NA
40041,"42733",35.6,17.6,NA,NA,20.7,"No",3.9,"40287 ",77.6,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","6 - Noncore (adjacent to small metro, with a town of ≥ 2,500)","Recreation",NA,NA,NA,NA,NA,NA
40043,"4894",39.4,24.5,NA,NA,12.1,"No",1.9,"50728 ",97.7,"9 - Nonmetro (rural or < 2,500 urban pop., not adjacent to metro)","10 - Noncore (adjacent to micro area, with no town of ≥ 2,500)","Mining",NA,NA,NA,NA,NA,NA
40045,"3952",38.6,20,NA,NA,12.7,"No",2.2,"51867 ",99.9,"9 - Nonmetro (rural or < 2,500 urban pop., not adjacent to metro)","10 - Noncore (adjacent to micro area, with no town of ≥ 2,500)","Mining",NA,NA,NA,NA,NA,NA
40047,"60913",36.8,22.4,NA,NA,15.2,"No",3,"52387 ",100.9,"5 - Nonmetro (20,000+ urban pop., not adjacent to metro)","8 - Micropolitan (not adjacent to metro area)","Nonspecialized",NA,NA,NA,NA,NA,NA
40049,"27811",45.1,14.5,NA,NA,15.1,"No",3.3,"47858 ",92.2,"6 - Nonmetro (2,500 to 19,999 urban pop., adjacent to metro)","4 - Noncore (adjacent to large metro area)","Mining",NA,NA,NA,NA,NA,NA
